"Skin Name","Type","Skin Rarity","Base Value","Obtainable By"
"1337","Shark","Mythical","300,000","All chests"
"2022","VITA","Legendary","20,000","All chests"
"2024","Bayonet","Mythical","500,000","All chests"
"2025","Character","Mythical","450,000","150x 💎"
"2025 Bayonet","Bayonet","Mythical","1,000,000","150x 💎"
"2025 Revolver","Revolver","Mythical","750,000","All Chests/ Packs"
"2025 Shark","Shark","Mythical","1,200,000","150x 💎"
"2025 VITA","VITA","Mythical","700,000","150x 💎"
"2026","Character","Mythical","450,000","100x💎"
"2026 Bayonet","Bayonet","Mythical","550,000","150x💎"
"2026 Shark","Shark","Paranormal","25,000,000","All Chests"
"2026 Vita","Vita","Mythical","600,000","150x💎"
"22","Bayonet","Epic","750,000,000","Glitched in chests"
"Abstraction","VITA","Mythical","500,000","38th Clan War"
"Abyss","Character","Mythical","1,000,000","Watch 15 hours Kirka"
"Ace","Revolver","Common","100","All chests"
"Admiral","AR-9","Rare","1,000,000","5th & 0th Clan War"
"Adora","Character","Paranormal","40,000,000","Girls Band"
"Agrath","Character","Mythical","40,000,000","1000x💎"
"Alex","Character","Rare","250","All chests / Packs"
"Alice","Character","Mythical","600,000,000","Watch 15 hours Venatrix"
"Alien","Weatie","Legendary","600,000","4th Clan War"
"Alien Hazard","Revolver","Legendary","200,000","11th Clan War"
"Alighted","Bayonet","Mythical","150,000","37th Clan War"
"All Spark","Revolver","Mythical","250,000","38th Clan War"
"Alpha","Bayonet","Mythical","550,000","1K Bayonet Kills"
"Alucard","Tomahawk","Mythical","600,000","150x 💎"
"Ambrosia","Shark","Mythical","4,500,000","5k Shark Kills"
"Amelia","Character","Mythical","40,000,000","1000x💎"
"Amethysta","Character","Mythical","40,000,000","1000x💎"
"Anarch","Bayonet","Mythical","900,000","41st Clan War"
"Anarchy","VITA","Mythical","20,000,000","7.5k Mid-Air Kills"
"Andromeda","MAC-10","Legendary","2,000,000","11th Clan War"
"Angel","Character","Mythical","2,000,000","Watch 15 hours Kirka"
"Anon","Character","Mythical","14,999,999","850x💎"
"Antique","Bayonet","Paranormal","22,000,000","All Chests"
"Apexial","Ar-9","Legendary","TBD","25k Ar-9 HS"
"Apollo","SCAR","Mythical","360,000,000","20k Scar Kills"
"Apple","Bayonet","Legendary","500,000","60x 💎"
"AR-9","AR-9","Default","0","Default Item"
"Arachne","Vita","Mythical","2,000,000","43rd Clan War"
"Arc","Character","Legendary","375,000","60x 💎"
"Arcade","VITA","Mythical","80,000,000","Watch 15 hours Gecko"
"Archverse","Bayonet","Mythical","35,000,000","100 SAD Wins"
"Aria","Character","Rare","250","All chests / Packs"
"Aries","Shark","Mythical","75,000,000","2.5k Shark Kills"
"Aron","Character","Legendary","5,000","Christmas Chest"
"Artic Illusion","Revolver","Rare","250","All chests / Packs"
"Artificial","Character","Mythical","500,000","150x 💎"
"Ashley","Character","Mythical","30,000,000","Watch 15 hours Kirka"
"Astatine","Character","Mythical","15,000,000","1000x💎"
"Astra","VITA","Mythical","150,000","21st-29th Clan War"
"Astral","AR-9","Mythical","30,000,000","10k AR-9 Kills"
"Astronova","LAR","Mythical","200,000","38th Clan War"
"Atlantis","Vita","Mythical","TBD","20 Daily Streak"
"Atomic","Revolver","Rare","250","All chests / Packs"
"Attention","M60","Common","100","All chests / Packs"
"Aubree","Character","Epic","1,000","All chests"
"Aurum","Character","Epic","1,000","All chests"
"Awesome","SCAR","Legendary","25,000","All chests"
"Aztek","Weatie","Legendary","5,000","All chests"
"Azure","Shark","Legendary","250,000","60x 💎"
"Back To School","Shark","Mythical","3,000,000","150x 💎"
"Bad Bunny","Character","Legendary","250,000","60x 💎"
"Badlander","Weatie","Mythical","120,000,000","2000x💎"
"Baldwin","Character","Mythical","550,000","Watch 15 hours Kirka"
"Bamboo","Vita","Mythical","500,000","150x 💎"
"Banar","Lar","Legendary","750,000","90x 💎"
"Bansee","Vita","Mythical","7,000,000","Watch 15 hours Kirka"
"Basket","Character","Mythical","6,000,000","Watch 15 hours Kirka"
"Basketcase","Character","Mythical","4,500,000","150x 💎"
"Bay","Shark","Legendary","3,500,000","3rd Clan War"
"Bayonet","Bayonet","Default","0","Default Item"
"Beach","Bayonet","Legendary","6,250,000","3rd Clan War"
"Beast","Character","Mythical","1,000,000,000","3000 KLO & 150x 💎"
"Bee","M60","Legendary","5,000","All chests"
"Beet","MAC-10","Common","100","All chests / Packs"
"Beyona","Character","Rare","250","All chests / Packs"
"Biker","Character","Mythical","15,000,000","1000x💎"
"Billion","Shark","Mythical","3,000,000","150x 💎"
"Bingle","Character","Legendary","5,000","Christmas Chest"
"Bismuth","Character","Rare","250","All chests / Packs"
"Black Flame","Revolver","Mythical","13,000,000","5k Revolver Kills"
"Black Metal","VITA","Legendary","15,000","All chests"
"Black Metal 2.0","LAR","Legendary","2,000,000","6th Clan War"
"Black Santa","Character","Paranormal","57,000,000","Christmas Chest"
"Blackhole","Bayonet","Paranormal","25,000,000","All Chests"
"Blackout","Revolver","Legendary","10,000","All chests"
"Blast","Character","Mythical","200,000","Blast Set Compenation"
"Blast AR-9","AR-9","Mythical","700,000","""Blast"" 850x 💎"
"Blast Bayonet","Bayonet","Mythical","1,200,000","""Blast"" 850x 💎"
"Blast LAR","LAR","Mythical","700,000","""Blast"" 850x 💎"
"Blast M60","M60","Mythical","700,000","""Blast"" 850x 💎"
"Blast MAC-10","MAC-10","Mythical","700,000","""Blast"" 850x 💎"
"Blast Revolver","Revolver","Mythical","700,000","""Blast"" 850x 💎"
"Blast SCAR","SCAR","Mythical","2,000,000","""Blast"" 850x 💎"
"Blast Shark","Shark","Mythical","1,200,000","""Blast"" 850x 💎"
"Blast Tomahawk","Tomahawk","Mythical","1,700,000","""Blast"" 850x 💎"
"Blast VITA","VITA","Mythical","1,200,000","""Blast"" 850x 💎"
"Blast Weatie","Weatie","Mythical","700,000","""Blast"" 850x 💎"
"Blaze","Character","Mythical","35,000,000","1000x💎"
"Bled","Bayonet","Legendary","350,000,000","Spawned & Giveaway"
"Blessed","Character","Mythical","1,500,000","""Dragonic"" 850x 💎"
"Bloo","Bayonet","Mythical","4,500,000","250 KLO & 150x 💎"
"Blood Crystal","VITA","Epic","1,000","All chests / Packs"
"Bloody","MAC-10","Common","100","All chests / Packs"
"Bloom","Character","Mythical","35,000,000","Watch 15 hours Kirka"
"Blue Hell","VITA","Legendary","10,000","All chests"
"Blueberry","VITA","Rare","250","All chests / Packs"
"Bob","Character","Rare","250","Christmas Chest"
"Boba","Character","Mythical","1,000,000","Watch 15 hours Kirka"
"Boby","Character","Common","100","All chests / Packs"
"Bok","Character","Mythical","550,000","Watch 15 hours Kirka"
"Bone","Bayonet","Mythical","25,000,000","150x 💎"
"Bones","Character","Mythical","15,000,000","1000x💎"
"Boo","Character","Legendary","70,000,000","150x 💎"
"Borg","Character","Mythical","2,000,000","Watch 15 hours Kirka"
"Born","M60","Mythical","350,000,000","5k M-60 Kills"
"Bound","Ar-9","Mythical","3,500,000","750 SRP & 150x 💎"
"Box","Character","Mythical","10,000,000","1000x💎"
"Bright","Scar","Mythical","TBD","14 Daily Streak"
"BRIGHTSTAR","Bayonet","Mythical","80,000,000","2000x💎"
"Bromine","Character","Common","100","All chests / Packs"
"Bros","VITA","Mythical","500,000,000","Gift for BVL Members"
"Brown","AR-9","Common","100","All chests / Packs"
"Bryan","Character","Mythical","1,200,000","Watch 15 hours Kirka"
